Index,Formatted Author(s) and Year,Publication Year,Citation Count,Journal Name,Article Title,Additional Data,Full Citation
29,T Ellingsen et al. (2008),2008,831,American Economic Review,Pride and prejudice: The human side of incentive theory,,"T Ellingsen, M Johannesson (2008). Pride and prejudice: The human side of incentive theory. American economic review."
30,JE Stiglitz (2002),2002,2672,American Economic Review,Information and the Change in the Paradigm in Economics,,JE Stiglitz (2002). Information and the Change in the Paradigm in Economics. American economic review.
31,MV Anauati et al. (2015),2015,48,American Economic Review,The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies,,"MV Anauati, S Galiani, F Weinschelbaum (2015). The rise of noncommunicable diseases in Latin America and the Caribbean: challenges for public health policies. … American Economic Review."
32,T Agasisti et al. (2023),2023,0,American Economic Review,"The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019",,"T Agasisti, J Arias, G Bernal, LK Abadía (2023). The productivity of Colombian public schools and its determinants from a value-added perspective, 2014–2019. … American Economic Review."
33,D KARLAN (2020),2020,0,The Quarterly Journal of Economics,RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES GHARAD BRYAN JAMES J. CHOI,,D KARLAN (2020). RANDOMIZING RELIGION: THE IMPACT OF PROTESTANT EVANGELISM ON ECONOMIC OUTCOMES GHARAD BRYAN JAMES J. CHOI. The Quarterly Journal of Economics.
34,O DUBE et al. (2021),2021,0,The Quarterly Journal of Economics,BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK DARIN CHRISTENSEN,,"O DUBE, J HAUSHOFER, B SIDDIQI (2021). BUILDING RESILIENT HEALTH SYSTEMS: EXPERIMENTAL EVIDENCE FROM SIERRA LEONE AND THE 2014 EBOLA OUTBREAK DARIN CHRISTENSEN. The Quarterly Journal of …."
35,L Bursztyn et al. (2019),2019,144,Journal of Political Economy,Moral incentives in credit card debt repayment: Evidence from a field experiment,,"L Bursztyn, S Fiorin, D Gottlieb (2019). Moral incentives in credit card debt repayment: Evidence from a field experiment. … of Political Economy."
36,K Pouliakas et al. (2009),2009,78,Journal of Political Economy,Confronting objections to performance pay: the impact of individual and gain‐sharing incentives on job satisfaction,,"K Pouliakas, I Theodossiou (2009). Confronting objections to performance pay: the impact of individual and gain‐sharing incentives on job satisfaction. … journal of political economy."
37,J Schnellenbach et al. (2015),2015,189,Journal of Political Economy,Behavioral political economy: A survey,,"J Schnellenbach, C Schubert (2015). Behavioral political economy: A survey. European Journal of Political Economy."
38,M Gaynor et al. (2004),2004,179,Journal of Political Economy,Physician incentives in health maintenance organizations,,"M Gaynor, JB Rebitzer (2004). Physician incentives in health maintenance organizations. … of Political Economy."
39,S Kaur et al. (2015),2015,364,Journal of Political Economy,Self-control at work,,"S Kaur, M Kremer (2015). Self-control at work. … of Political Economy."
40,E Fehr et al. (1999),1999,804,Journal of Political Economy,Wage rigidity in a competitive incomplete contract market,,"E Fehr, A Falk (1999). Wage rigidity in a competitive incomplete contract market. Journal of political Economy."
41,BS Frey et al. (1996),1996,574,Journal of Political Economy,The old lady visits your backyard: A tale of morals and markets,,"BS Frey, F Oberholzer-Gee (1996). The old lady visits your backyard: A tale of morals and markets. … of political economy."
42,F Englmaier et al. (2024),2024,12,Journal of Political Economy,The Effect of Incentives in Nonroutine Analytical Team Tasks,,"F Englmaier, S Grimm, D Grothe (2024). The Effect of Incentives in Nonroutine Analytical Team Tasks. … of Political Economy."
43,G Friebel et al. (2023),2023,30,Journal of Political Economy,What do employee referral programs do? Measuring the direct and overall effects of a management practice,,"G Friebel, M Heinz, M Hoffman (2023). What do employee referral programs do? Measuring the direct and overall effects of a management practice. … of Political Economy."
44,A Isoni et al. (2023),2023,5,Journal of Political Economy,Voluntary interaction and the Principle of Mutual Benefit,,"A Isoni, R Sugden, J Zheng (2023). Voluntary interaction and the Principle of Mutual Benefit. Journal of Political Economy."
45,M Dean et al. (2023),2023,164,Journal of Political Economy,Experimental tests of rational inattention,,"M Dean, N Neligh (2023). Experimental tests of rational inattention. Journal of Political Economy."
46,M Fioretti (2022),2022,10,Journal of Political Economy,"Caring or pretending to care? social impact, firms' objectives, and welfare",,"M Fioretti (2022). Caring or pretending to care? social impact, firms' objectives, and welfare. Journal of Political Economy."
47,R Bénabou et al. (2004),2004,851,Journal of Political Economy,Willpower and personal rules,,"R Bénabou, J Tirole (2004). Willpower and personal rules. Journal of Political Economy."
48,G Kirchgässner (2010),2010,44,Journal of Political Economy,On minimal morals,,G Kirchgässner (2010). On minimal morals. European Journal of Political Economy.
49,S Büchner et al. (2004),2004,23,Journal of Political Economy,Incentive contracts versus trust in three-person ultimatum games: an experimental study,,"S Büchner, LG González, W Güth, MV Levati (2004). Incentive contracts versus trust in three-person ultimatum games: an experimental study. … Journal of Political Economy."
50,E Fehr et al. (1999),1999,1,Journal of Political Economy,Wage Rigidity in a Competitive lncomplete,,"E Fehr, A Falk (1999). Wage Rigidity in a Competitive lncomplete. The Journal of Political Economy."
51,K Music et al. (2020),2020,0,Journal of Political Economy,Why biased agencies could be the best monitors,,"K Music, C Salzmann (2020). Why biased agencies could be the best monitors. European Journal of Political Economy."
52,MJ Holler et al. (2010),2010,22,Journal of Political Economy,Efficiency and justice revisited,,"MJ Holler, M Leroch (2010). Efficiency and justice revisited. European Journal of Political Economy."
53,B Walker (2000),2000,23,Journal of Political Economy,Monitoring and motivation in principal‐agent relationships: some issues in the case of local authority services,,B Walker (2000). Monitoring and motivation in principal‐agent relationships: some issues in the case of local authority services. Scottish Journal of Political Economy.
54,R Muramatsu et al. (2021),2021,17,Journal of Political Economy,Behavioral economics of corruption and its implications,,"R Muramatsu, AMAF Bianchi (2021). Behavioral economics of corruption and its implications. Brazilian Journal of Political Economy."
55,S Bowles et al. (2012),2012,1178,Journal of Economic Literature,Economic incentives and social preferences: substitutes or complements?,,"S Bowles, S Polania-Reyes (2012). Economic incentives and social preferences: substitutes or complements?. Journal of economic literature."
56,J Sobel (2005),2005,1260,Journal of Economic Literature,Interdependent preferences and reciprocity,,J Sobel (2005). Interdependent preferences and reciprocity. Journal of economic literature.
57,S Bowles (1998),1998,2832,Journal of Economic Literature,Endogenous preferences: The cultural consequences of markets and other economic institutions,,S Bowles (1998). Endogenous preferences: The cultural consequences of markets and other economic institutions. Journal of economic literature.
58,M Kitzmueller et al. (2012),2012,1386,Journal of Economic Literature,Economic perspectives on corporate social responsibility,,"M Kitzmueller, J Shimshack (2012). Economic perspectives on corporate social responsibility. Journal of economic literature."
59,B Kőszegi (2014),2014,427,Journal of Economic Literature,Behavioral contract theory,,B Kőszegi (2014). Behavioral contract theory. Journal of Economic Literature.
60,R Kranton (2019),2019,29,Journal of Economic Literature,The devil is in the details: Implications of Samuel Bowles's The Moral Economy for economics and policy research,,R Kranton (2019). The devil is in the details: Implications of Samuel Bowles's The Moral Economy for economics and policy research. Journal of Economic Literature.
61,J Slemrod (2019),2019,658,Journal of Economic Literature,Tax compliance and enforcement,,J Slemrod (2019). Tax compliance and enforcement. Journal of economic literature.
62,B Erard (2009),2009,3,Journal of Economic Literature,Tax compliance and tax morale: A theoretical and empirical analysis,,B Erard (2009). Tax compliance and tax morale: A theoretical and empirical analysis. NA.
63,L Garicano et al. (2016),2016,146,Journal of Economic Literature,Why organizations fail: Models and cases,,"L Garicano, L Rayo (2016). Why organizations fail: Models and cases. Journal of Economic Literature."
64,CD Field (2008),2008,0,Journal of Economic Literature,A General Economics and Teaching,,CD Field (2008). A General Economics and Teaching. Journal of Economic Literature.
65,H Grubert (2009),2009,0,Journal of Economic Literature,"Tax Compliance and Tax Morale: A Theoretical and Empirical Analysis. By Benno Torgler. Cheltenham, UK and Northampton, Mass.: Elgar, 2007. Pp. x, 307. $125.00 …",,"H Grubert (2009). Tax Compliance and Tax Morale: A Theoretical and Empirical Analysis. By Benno Torgler. Cheltenham, UK and Northampton, Mass.: Elgar, 2007. Pp. x, 307. $125.00 …. Journal of Economic Literature."
66,A Edmans et al. (2023),2023,92,Journal of Financial Economics,CEO compensation: Evidence from the field,,"A Edmans, T Gosling, D Jenter (2023). CEO compensation: Evidence from the field. Journal of Financial Economics."
67,J Sunder et al. (2017),2017,531,Journal of Financial Economics,Pilot CEOs and corporate innovation,,"J Sunder, SV Sunder, J Zhang (2017). Pilot CEOs and corporate innovation. Journal of financial economics."
68,S Ha et al. (2024),2024,15,Journal of Financial Economics,Motivating collusion,,"S Ha, F Ma, A Žaldokas (2024). Motivating collusion. Journal of Financial Economics."
69,L Cassar et al. (2018),2018,342,Journal of Economic Perspectives,Nonmonetary incentives and the implications of work as a source of meaning,,"L Cassar, S Meier (2018). Nonmonetary incentives and the implications of work as a source of meaning. Journal of Economic Perspectives."
70,U Gneezy et al. (2011),2011,2334,Journal of Economic Perspectives,When and why incentives (don't) work to modify behavior,,"U Gneezy, S Meier, P Rey-Biel (2011). When and why incentives (don't) work to modify behavior. Journal of economic perspectives."
71,EP Lazear (2018),2018,289,Journal of Economic Perspectives,Compensation and incentives in the workplace,,EP Lazear (2018). Compensation and incentives in the workplace. Journal of Economic Perspectives.
72,O Bandiera et al. (2011),2011,234,Journal of Economic Perspectives,Field experiments with firms,,"O Bandiera, I Barankay, I Rasul (2011). Field experiments with firms. Journal of Economic Perspectives."
73,R Chetty et al. (2014),2014,133,Journal of Economic Perspectives,What Policies Increase Prosocial Behavior? An Experiment with Referees at the Journal of Public Economics,,"R Chetty, E Saez, L Sándor (2014). What Policies Increase Prosocial Behavior? An Experiment with Referees at the Journal of Public Economics. Journal of Economic Perspectives."
74,T Ellingsen et al. (2007),2007,349,Journal of Economic Perspectives,Paying respect,,"T Ellingsen, M Johannesson (2007). Paying respect. Journal of Economic Perspectives."
75,GA Akerlof et al. (2005),2005,2610,Journal of Economic Perspectives,Identity and the Economics of Organizations,,"GA Akerlof, RE Kranton (2005). Identity and the Economics of Organizations. Journal of Economic perspectives."
76,EP Lazear et al. (2007),2007,763,Journal of Economic Perspectives,Personnel economics: The economist's view of human resources,,"EP Lazear, KL Shaw (2007). Personnel economics: The economist's view of human resources. Journal of economic perspectives."
77,J Slemrod (2007),2007,1832,Journal of Economic Perspectives,Cheating ourselves: The economics of tax evasion,,J Slemrod (2007). Cheating ourselves: The economics of tax evasion. Journal of Economic perspectives.
78,SI Eneh et al. (2019),2019,2,Journal of Economic Perspectives,"Bonus payment and employee output in cement manufacturing companies in south-south, Nigeria",,"SI Eneh, JA Anyadighibe, A Etuk (2019). Bonus payment and employee output in cement manufacturing companies in south-south, Nigeria. … journal of economic perspectives."
79,M Rahardjo (2017),2017,23,Journal of Economic Perspectives,The Effects of Compensation on Work Motivation: Evidence from Universities in Jakarta.,,M Rahardjo (2017). The Effects of Compensation on Work Motivation: Evidence from Universities in Jakarta.. International Journal of Economic Perspectives.
80,L Bruni et al. (2013),2013,258,Journal of Economic Perspectives,Reclaiming virtue ethics for economics,,"L Bruni, R Sugden (2013). Reclaiming virtue ethics for economics. Journal of economic Perspectives."
81,O Magdalene (2022),2022,1,Journal of Economic Perspectives,Determinants of sales force performance in mobile phone service providers,,O Magdalene (2022). Determinants of sales force performance in mobile phone service providers. International journal of economic perspectives.
82,MJ Sandel (2013),2013,331,Journal of Economic Perspectives,Market reasoning as moral reasoning: why economists should re-engage with political philosophy,,MJ Sandel (2013). Market reasoning as moral reasoning: why economists should re-engage with political philosophy. Journal of economic Perspectives.
83,N Folbre et al. (2000),2000,1039,Journal of Economic Perspectives,For love or money—or both?,,"N Folbre, JA Nelson (2000). For love or money—or both?. Journal of economic perspectives."
84,A Banerjee et al. (2006),2006,541,Journal of Economic Perspectives,Addressing absence,,"A Banerjee, E Duflo (2006). Addressing absence. Journal of Economic perspectives."
85,DH Howard (2007),2007,73,Journal of Economic Perspectives,Producing organ donors,,DH Howard (2007). Producing organ donors. Journal of Economic Perspectives.
86,EP Lazear (1991),1991,290,Journal of Economic Perspectives,Labor economics and the psychology of organizations,,EP Lazear (1991). Labor economics and the psychology of organizations. Journal of Economic perspectives.
87,AA Abdo et al. (2016),2016,63,Journal of Economic Perspectives,Factors affecting career choice among undergraduate students in Univeritas Indonesia,,"AA Abdo, A Majid, M Auf (2016). Factors affecting career choice among undergraduate students in Univeritas Indonesia. … of Economic Perspectives."
88,JA Nelson et al. (2000),2000,27,Journal of Economic Perspectives,For Love or Money-Or Both?,,"JA Nelson, N Folbre (2000). For Love or Money-Or Both?. Journal of Economic Perspectives."
89,R Sabot et al. (1991),1991,3,Journal of Economic Perspectives,The implications of grading policies for student course choice,,"R Sabot, J Wakeman-Linn (1991). The implications of grading policies for student course choice. Journal of Economic Perspectives."
90,K Edin et al. (2019),2019,34,Journal of Economic Perspectives,The tenuous attachments of working-class men,,"K Edin, T Nelson, A Cherlin, R Francis (2019). The tenuous attachments of working-class men. … of Economic Perspectives."
91,R Robin et al. (2023),2023,3,Journal of Finance,"The impact of awards on intrinsic motivation and job satisfaction of multi-level marketing members in riau islands province, Indonesia",,"R Robin, F Hidayat, C Wibisono (2023). The impact of awards on intrinsic motivation and job satisfaction of multi-level marketing members in riau islands province, Indonesia. … of Finance …."
92,GP Baker et al. (1988),1988,3406,Journal of Finance,Compensation and incentives: Practice vs. theory,,"GP Baker, MC Jensen, KJ Murphy (1988). Compensation and incentives: Practice vs. theory. The journal of Finance."
93,KA Obasan (2012),2012,107,Journal of Finance,Effect of compensation strategy on corporate performance: Evidence from Nigerian firms,,KA Obasan (2012). Effect of compensation strategy on corporate performance: Evidence from Nigerian firms. Research Journal of Finance and Accounting.
94,SU Khan et al. (2022),2022,0,Journal of Finance,Evaluating stock trading behaviour: Information sources nexus through intrinsic and extrinsic motivation,,"SU Khan, M Wang, IU Khan (2022). Evaluating stock trading behaviour: Information sources nexus through intrinsic and extrinsic motivation. … Journal of Finance & …."
95,Y Shahab et al. (2021),2021,18,Journal of Finance,Online feedback and crowdfunding finance in China,,"Y Shahab, Y Riaz, CG Ntim, Z Ye (2021). Online feedback and crowdfunding finance in China. … Journal of Finance & …."
96,AA Umobong et al. (2019),2019,5,Journal of Finance,Performance based compensation and firm value of commercial banks in Nigeria,,"AA Umobong, A Bele-Egberi (2019). Performance based compensation and firm value of commercial banks in Nigeria. Research Journal of Finance and …."
97,AF Cicchiello et al. (2019),2019,36,Journal of Finance,Crowdfunding tax incentives in Europe: a comparative analysis,,"AF Cicchiello, F Battaglia, S Monferrà (2019). Crowdfunding tax incentives in Europe: a comparative analysis. … Journal of Finance."
98,L Gómez-Ruiz et al. (2018),2018,15,Journal of Finance,The motivational role of consultative participation in a multi-period target setting: An experimental study,,"L Gómez-Ruiz, E Rodríguez-Rivero (2018). The motivational role of consultative participation in a multi-period target setting: An experimental study. Spanish Journal of Finance …."
99,TM Dibabe et al. (2015),2015,80,Journal of Finance,Factors that affect students' career choice in accounting: A case of Bahir Dar University students,,"TM Dibabe, AW Wubie, GA Wondmagegn (2015). Factors that affect students' career choice in accounting: A case of Bahir Dar University students. Research Journal of Finance …."
100,Z Fatima et al. (2017),2017,0,Journal of Finance,Antecedents of Salesforce Motivation: A Review of Studies,,"Z Fatima, MK Aza (2017). Antecedents of Salesforce Motivation: A Review of Studies. Al-Barkaat Journal of Finance & …."
101,AB Shafiwu et al. (2013),2013,24,Journal of Finance,Analysis of teachers' motivation on the overall performance of public basic school in the Wa Municipality,,"AB Shafiwu, A Salakpi (2013). Analysis of teachers' motivation on the overall performance of public basic school in the Wa Municipality. Research Journal of Finance and accounting."
102,S Sumantri et al. (2022),2022,10,Journal of Finance,"Effect of Motivation, Leadership and Organizational Culture on Employee Performance during the COVID-19 Pandemic",,"S Sumantri, C Wibisono (2022). Effect of Motivation, Leadership and Organizational Culture on Employee Performance during the COVID-19 Pandemic. … Journal of Finance …."
103,GN Onoh (2021),2021,0,Journal of Finance,Publication Process Date,,GN Onoh (2021). Publication Process Date. Global Journal of Finance and Business Review ….
104,R Opeke et al. (2019),2019,1,Journal of Finance,Motivation as a management tool for health workers' productivity in Nigeria,,"R Opeke, RA Adio, MS Omole (2019). Motivation as a management tool for health workers' productivity in Nigeria. … Journal of Finance and …."
105,YO Oyedeko et al. (2021),2021,2,Journal of Finance,Board Inclusion in Financial Reporting and Dividend Policy: Evidence from Static and Dynamic Panel VAR Models,,"YO Oyedeko, M Zubairu (2021). Board Inclusion in Financial Reporting and Dividend Policy: Evidence from Static and Dynamic Panel VAR Models. Journal of Finance & …."
106,AF Gaspar et al. (2014),2014,12,Journal of Finance,The use of performance information by local government stakeholders in Tanzania,,"AF Gaspar, TA Mkasiwa (2014). The use of performance information by local government stakeholders in Tanzania. Journal of Finance and Accounting."
107,A Kusumawardani (2018),2018,0,Journal of Finance,Effect of Human Resources Practice and Organizational Commitment on Accountability of Rural Entity,,A Kusumawardani (2018). Effect of Human Resources Practice and Organizational Commitment on Accountability of Rural Entity. … Research Journal of Finance and ….
108,A Jari et al. (2020),2020,0,Journal of Finance,"Determination the Impact Professional Skepticism and Interpersonal Trust, with Considering the of Organizational Behavior Characteristics on Auditors Job Durability",,"A Jari, D Foroghi, H Amiri (2020). Determination the Impact Professional Skepticism and Interpersonal Trust, with Considering the of Organizational Behavior Characteristics on Auditors Job Durability. … Journal of Finance & Managerial Accounting."
109,A Hairudin et al. (2022),2022,65,Journal of Finance,"Cryptocurrencies: A survey on acceptance, governance and market dynamics",,"A Hairudin, IM Sifat, A Mohamad (2022). Cryptocurrencies: A survey on acceptance, governance and market dynamics. … Journal of Finance & …."
110,UF Ikechukwu (2021),2021,2,Journal of Finance,The effect of workplace safety on the performance of Enugu state electricity distribution company,,UF Ikechukwu (2021). The effect of workplace safety on the performance of Enugu state electricity distribution company. … Journal of Finance and Management Sciences.
111,MA Bhat et al. (2020),2020,5,Journal of Finance,Factors affecting adoption of internet banking: A study of Jammu and Kashmir with special reference to J & K Bank,,"MA Bhat, S Tariq (2020). Factors affecting adoption of internet banking: A study of Jammu and Kashmir with special reference to J & K Bank. MUDRA: Journal of Finance and Accounting."
112,T Phansawadhi (2013),2013,4,Journal of Finance,Equity valuation approach based on accounting variables,,T Phansawadhi (2013). Equity valuation approach based on accounting variables. Journal of Finance and Economics.
113,US Mishra et al. (2012),2012,30,Journal of Finance,Perceived benefit analysis of sales promotion: a case of consumer durables,,"US Mishra, JR Das, BB Mishra (2012). Perceived benefit analysis of sales promotion: a case of consumer durables. … Journal of Finance and …."
114,D Aggarwal (2014),2014,4,Journal of Finance,Human resources-change agents for motivating and retaining Employees,,D Aggarwal (2014). Human resources-change agents for motivating and retaining Employees. Global Journal of Finance and Management.
115,R Bénabou et al. (2003),2003,4179,Review of Economic Studies,Intrinsic and extrinsic motivation,,"R Bénabou, J Tirole (2003). Intrinsic and extrinsic motivation. The review of economic studies."
116,EL Von Thadden et al. (2012),2012,101,Review of Economic Studies,Incentives for unaware agents,,"EL Von Thadden, X Zhao (2012). Incentives for unaware agents. The Review of Economic Studies."
117,ES Pagnotta (2022),2022,168,Review of Financial Studies,Decentralizing money: Bitcoin prices and blockchain security,,ES Pagnotta (2022). Decentralizing money: Bitcoin prices and blockchain security. The Review of Financial Studies.
118,H Fang et al. (2005),2005,145,Journal of Monetary Economics,Morale hazard,,"H Fang, G Moscarini (2005). Morale hazard. Journal of Monetary Economics."
119,J Peck et al. (2010),2010,37,Journal of Monetary Economics,Could making banks hold only liquid assets induce bank runs?,,"J Peck, K Shell (2010). Could making banks hold only liquid assets induce bank runs?. Journal of Monetary Economics."
120,M Kremer et al. (2009),2009,760,The Review of Economics and Statistics,Incentives to learn,,"M Kremer, E Miguel, R Thornton (2009). Incentives to learn. … Review of Economics and statistics."
121,L Mi et al. (2021),2021,42,Renewable and Sustainable Energy Reviews,Effects of monetary and nonmonetary interventions on energy conservation: A meta-analysis of experimental studies,,"L Mi, X Gan, Y Sun, T Lv, L Qiao, T Xu (2021). Effects of monetary and nonmonetary interventions on energy conservation: A meta-analysis of experimental studies. … and Sustainable Energy Reviews."
122,D Sloot et al. (2022),2022,16,Renewable and Sustainable Energy Reviews,Understanding the financial incentive conundrum: A meta-analysis of the effectiveness of financial incentive interventions in promoting energy conservation behavior,,"D Sloot, B Scheibehenne (2022). Understanding the financial incentive conundrum: A meta-analysis of the effectiveness of financial incentive interventions in promoting energy conservation behavior. Renewable and Sustainable Energy Reviews."
123,Y Zhang et al. (2024),2024,0,Renewable and Sustainable Energy Reviews,"Employee energy-saving behaviors: Review of theories, influencing factors, and interventions",,"Y Zhang, B Fu, S Maani, L Wen (2024). Employee energy-saving behaviors: Review of theories, influencing factors, and interventions. Renewable and Sustainable Energy …."
124,PTI Lam et al. (2016),2016,304,Renewable and Sustainable Energy Reviews,Crowdfunding for renewable and sustainable energy projects: An exploratory case study approach,,"PTI Lam, AOK Law (2016). Crowdfunding for renewable and sustainable energy projects: An exploratory case study approach. Renewable and sustainable energy reviews."
125,ER Frederiks et al. (2015),2015,1173,Renewable and Sustainable Energy Reviews,Household energy use: Applying behavioural economics to understand consumer decision-making and behaviour,,"ER Frederiks, K Stenner, EV Hobman (2015). Household energy use: Applying behavioural economics to understand consumer decision-making and behaviour. … and Sustainable Energy Reviews."
126,OA Olubunmi et al. (2016),2016,471,Renewable and Sustainable Energy Reviews,Green building incentives: A review,,"OA Olubunmi, PB Xia, M Skitmore (2016). Green building incentives: A review. Renewable and Sustainable Energy …."
127,D Xu et al. (2017),2017,24,Renewable and Sustainable Energy Reviews,"Understanding household energy use, decision making and behaviour in Guinea-Conakry by applying behavioural economics",,"D Xu, E Binyet (2017). Understanding household energy use, decision making and behaviour in Guinea-Conakry by applying behavioural economics. Renewable and Sustainable Energy Reviews."
128,C Valor et al. (2019),2019,21,Renewable and Sustainable Energy Reviews,Effective design of domestic energy efficiency displays: A proposed architecture based on empirical evidence,,"C Valor, C Escudero, V Labajo, R Cossent (2019). Effective design of domestic energy efficiency displays: A proposed architecture based on empirical evidence. … Sustainable Energy Reviews."
129,R Alasseri et al. (2020),2020,52,Renewable and Sustainable Energy Reviews,Institution of incentive-based demand response programs and prospective policy assessments for a subsidized electricity market,,"R Alasseri, TJ Rao, KJ Sreekanth (2020). Institution of incentive-based demand response programs and prospective policy assessments for a subsidized electricity market. Renewable and Sustainable Energy …."
130,C Chen et al. (2020),2020,194,Renewable and Sustainable Energy Reviews,"Assessing the socio-demographic, technical, economic and behavioral factors of Nordic electric vehicle adoption and the influence of vehicle-to-grid preferences",,"C Chen, GZ de Rubens, L Noel, J Kester (2020). Assessing the socio-demographic, technical, economic and behavioral factors of Nordic electric vehicle adoption and the influence of vehicle-to-grid preferences. … and Sustainable Energy …."
